Tipo,Fecha,Fijar hora,Título,Monto,Moneda,Tipo de Cambio,Nombre del grupo de categorías,Categoría,Cuenta,Notas,Etiquetas,Estado
Gastos,08/03/2021 12:25,12:25,Izzi,-800,MXN,1,Servicios,Internet,TDD BBVA Noé,,,Ninguno
Gastos,07/03/2021 11:41,11:41,Soriana,-2821,MXN,1,Casa,Supermercado,TDD BBVA Noé,,,Ninguno
Transferir,07/03/2021 11:40,11:40,Otros,-500,MXN,1,(Transferir),(Transferir),TDD BBVA Noé,,,Ninguno
Gastos,07/03/2021 11:40,11:40,Didi,-29.7,MXN,1,Transporte,Servicios de transporte,TDD BBVA Noé,Soriana a casa,,Ninguno
Gastos,06/03/2021 11:46,11:46,Otros,-2500,MXN,1,Casa,"Cuidado personal (Nutriólogo, Suplementos, Depilación, Arreglo)",TDD BBVA Noé,Estilista Ivonne ,,Ninguno
Gastos,06/03/2021 11:45,11:45,Uber Eats,-394,MXN,1,Casa,Comida Preparada,TDD BBVA Noé,Simpsons Burgers,,Ninguno
Gastos,05/03/2021 11:51,11:51,Uber,-59.94,MXN,1,Transporte,Servicios de transporte,TDD BBVA Noé,Casa a Psikids ,,Ninguno
Gastos,05/03/2021 11:50,11:50,Didi,-65.78,MXN,1,Transporte,Servicios de transporte,TDD BBVA Noé,Psikids a casa suegros ,,Ninguno
Transferir,05/03/2021 11:49,11:49,Otros,-1100,MXN,1,(Transferir),(Transferir),TDD BBVA Noé,,,Ninguno
Gastos,05/03/2021 11:48,11:48,Uber Eats,-140.45,MXN,1,Casa,Comida Preparada,TDD BBVA Noé,Little Caesars,,Ninguno
Gastos,04/03/2021 12:00,12:00,SADM,-261,MXN,1,Servicios,Agua,TDD BBVA Noé,,,Ninguno
Gastos,04/03/2021 12:00,12:00,Oxxo,-74,MXN,1,Casa,Consumibles No Indispensables,TDD BBVA Noé,Coca y galletas,,Ninguno
Gastos,04/03/2021 11:58,11:58,Uber,-28.79,MXN,1,Transporte,Servicios de transporte,TDD BBVA Noé,Hospitaria a casa suegros ,,Ninguno
Gastos,04/03/2021 11:57,11:57,Uber,-60.62,MXN,1,Transporte,Servicios de transporte,TDD BBVA Noé,Casa a Psikids ,,Ninguno
Gastos,04/03/2021 11:57,11:57,Didi,-38.88,MXN,1,Transporte,Servicios de transporte,TDD BBVA Noé,Psikids a casa suegros ,,Ninguno
Gastos,03/03/2021 12:08,12:08,Uber,-28.62,MXN,1,Transporte,Servicios de transporte,TDD BBVA Noé,Casa a colegios,,Ninguno
Gastos,03/03/2021 12:07,12:07,Uber,-78.21,MXN,1,Transporte,Servicios de transporte,TDD BBVA Noé,Colegios a casa,,Ninguno
Gastos,03/03/2021 12:06,12:06,Uber,-107.05,MXN,1,Transporte,Servicios de transporte,TDD BBVA Noé,Casa a Psikids ,,Ninguno
Gastos,03/03/2021 12:03,12:03,Sams Club,-1691.57,MXN,1,Casa,Supermercado,TDD BBVA Noé,Alimentos y artículos de limpieza,,Ninguno
Gastos,03/03/2021 12:02,12:02,7 Eleven,-90.5,MXN,1,Casa,Consumibles No Indispensables,TDD BBVA Noé,Botana ,,Ninguno
Gastos,03/03/2021 12:02,12:02,Didi,-46.38,MXN,1,Transporte,Servicios de transporte,TDD BBVA Noé,Psikids a casa suegros ,,Ninguno
